Purveyor,Category,Source Group,Website,Ordering URL,Portal Status,Order Template / Import Docs,Template / Export Type,Verification Source,Notes,Verified On
"McLane Foodservice, Inc.",National chain / convenience,IFDA,https://www.mclaneco.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Mendez & Co., Inc.",Broadline / Puerto Rico,IFDA,https://www.mendezcopr.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Merchants Grocery Co. Inc.,Convenience / foodservice,IFDA,https://merchants-grocery.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Multi Plus DM Inc.,Specialty / wholesale,IFDA,https://www.multiplusdm.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
National DCP,Closed-system / chain supply,IFDA,https://nationaldcp.com,,Closed or franchise/system-specific ordering,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Navis Food Partners,Distributor network,IFDA,https://navisfood.com,,Network/cooperative — not an operator ordering portal,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Nicholas and Company, Inc.",Broadline,IFDA,https://www.nicholasandco.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Northern Haserot Food Service,Broadline,IFDA,https://www.northernhaserot.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Novick Brothers Corp.,Broadline / institutional,IFDA,https://novickcorp.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Ole Tyme Produce,Produce,IFDA,https://www.oletyme.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Pacific Provisions Hawaii,Broadline / Hawaii,IFDA,https://pacificprovisionshawaii.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Palmer Food Services,Broadline / center-of-plate,IFDA,https://palmerfoods.com,https://palmerfoods.com/order-online/,Verified ordering landing page,,No public template found,https://palmerfoods.com/order-online/,Web and mobile ordering; direct application URL is exposed after account setup.,2026-07-13
Performance Food Group,National broadline,IFDA,https://www.pfgc.com,https://www.performancefoodservice.com/Your-Operation/CustomerFirst,Verified ordering platform landing page (CustomerFirst),https://www.rrgconsulting.com/export-your-performance-net-order-guide.html,CSV order-guide export instructions (third party),https://www.performancefoodservice.com/Your-Operation/CustomerFirst,CustomerFirst includes custom lists/order guides; direct login is account-gated.,2026-07-13
"Phillips Food Service, LLC",Broadline,IFDA,https://phillipsfoodservice.net,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Pratts Foodservice,Broadline,IFDA,https://ww1.pratts.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Prime Source Foods,Center-of-plate / specialty,IFDA,https://www.primesourcefoods.biz,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Quaker Valley Foods, Inc.",Meat / specialty broadline,IFDA,https://www.quakervalleyfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Quality Custom Distribution Services,Closed-system / chain supply,IFDA,https://www.qualitycustomdistribution.com,,Closed or franchise/system-specific ordering,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Quality Food Company,Italian / specialty,IFDA,https://www.qualityfoodcompany.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Royal Food Service,Produce / broadline,IFDA,https://www.royalfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
RRS Foodservice,Broadline,IFDA,https://www.rrsfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"S & W Wholesale Foods, LLC",Broadline,IFDA,https://www.s-wfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"S. Abraham & Sons, Inc.",Convenience / foodservice,IFDA,https://www.sasinc.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Sanwa Food Group,Produce / broadline,IFDA,https://sanwagrowers.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Saval Foodservice,Broadline,IFDA,https://savalfoods.com,https://savalfoodservice.cutanddry.com/,Verified direct customer portal,,No public template found,https://www.savalfoods.com/online-ordering,"Cut+Dry portal supports ordering, product discovery and bill payment.",2026-07-13
Scarmardo Foodservice Inc.,Broadline,IFDA,https://www.scarmardofoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Schenck Foods Company,Broadline,IFDA,https://schenckfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Schiff's Food Service, Inc.",Broadline,IFDA,https://www.schiffs.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Scooter's Coffee / Harvest Roasting,Closed-system / coffee chain,IFDA,https://www.harvestroasting.com,,Closed or franchise/system-specific ordering,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
SGC Foodservice,Broadline,IFDA,https://www.sgcfoodservice.com,https://pnet.sgcfoodservice.com/,Verified direct customer portal,,No public template found,https://www.sgcfoodservice.com/mysgc-order-entry/,MySGC/PowerNet ordering options are linked from the public site.,2026-07-13
Shamrock Foods Company,Broadline,IFDA,https://www.shamrockfoods.com,https://m.myshamrock.com/,Verified direct customer portal (MyShamrock),,No public template found,https://www.shamrockfoodservice.com/resources/shamrockorders/,Supports online ordering and customizable sheet-to-shelf order guides.,2026-07-13
Sofo Foods,Italian / broadline,IFDA,https://www.sofofoods.com,https://order.sofofoods.com/pnet/eOrder,Verified direct customer portal,,No public template found,https://www.sofofoods.com/order,Current customers can sign up for online ordering; a Pepper portal also exists.,2026-07-13
Southeastern Food Merchandisers,Broadline / specialty,IFDA,https://www.southeasternfood.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Southwest Traders, Inc.",Broadline / specialty,IFDA,https://www.southwesttraders.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Suisan Company, Limited",Broadline / Hawaii,IFDA,https://www.suisan.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Sutherland's Foodservice, Inc.",Broadline,IFDA,https://www.suthfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Sysco Corporation,National broadline,IFDA,https://www.sysco.com,https://shop.sysco.com/auth/login,Verified direct customer portal,https://www.rrgconsulting.com/export-your-sysco-order-guide-from-sysco-shop.html,CSV order-guide export instructions (third party),https://sysco.com/en-us/shopmobile,"Sysco Shop supports custom lists/order guides. Public documentation found for exporting, not a vendor-hosted blank upload template.",2026-07-13
Tankersley Foodservice LLC,Broadline,IFDA,https://www.tankersleyfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Team Sledd,Convenience / foodservice,IFDA,https://www.sleddco.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Thurston Foods, Inc.",Broadline,IFDA,https://www.thurstonfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"UniPro Foodservice, Inc.",Distributor cooperative,IFDA,https://www.uniprofoodservice.com,,Network/cooperative — not an operator ordering portal,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Upper Lakes Foods Inc.,Broadline,IFDA,https://www.upperlakesfoods.com,https://ulfweb.com/,Verified direct customer portal (MegaBite),,No public template found,https://upperlakesfoods.com/order/,Upper Lakes also promotes a newer Pepper-powered ordering experience.,2026-07-13
US Foods,National broadline,IFDA,https://www.usfoods.com,https://www.usfoods.com/how-we-help-you/easy-ordering,Verified ordering platform landing page (MOXē),https://www.usfoods.com/content/dam/usf/pdf/E-Commerce/moxe/us-foods-online-import-orders-users-manual.pdf,Official CSV import-order instructions/template workflow,https://www.usfoods.com/how-we-help-you/easy-ordering,Official documentation describes creating and uploading CSV orders; customer credentials are required.,2026-07-13
Van Eerden Foodservice,Broadline,IFDA,https://www.vaneerden.com,https://customer.vaneerden.com/,Verified direct customer portal,,No public template found,https://www.vaneerden.com/fresh-solutions/,"Portal includes custom order guides, PAR levels, history and promotions.",2026-07-13
VIP Foodservice,Broadline,IFDA,https://www.vipfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Vitco Distributors, Inc.",Broadline,IFDA,https://www.vitcofoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Wabash Foodservice,Broadline,IFDA,https://www.wabashfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Wood Fruitticher Food Service,Broadline,IFDA,https://www.woodfruitticher.com,https://woodfruitticher.foodorderentry.com/?FromMobile=1,Verified direct customer portal,,No public template found,https://www.woodfruitticher.com/resources/online-ordering/,Also migrating/promoting a Pepper-powered mobile and web system.,2026-07-13
"Y. Hata & Co., Ltd.",Broadline / Hawaii,IFDA,https://www.yhata.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Yen Bros. Food Service,Asian / broadline,IFDA,https://www.yenbros.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Baldor Specialty Foods,Produce / specialty,Supplemental,https://www.baldorfood.com,https://www.baldorfood.com/sign-in,Verified direct customer portal,,No public template found,https://www.baldorfood.com/sign-in,Online catalog and ordering are integrated into Baldor's main website.,2026-07-13
FreshPoint,Produce / Sysco subsidiary,Supplemental,https://www.freshpoint.com,https://myfreshpoint.com/,Verified direct customer portal,https://www.freshpoint.com/wp-content/uploads/2018/10/myfreshpoint_QuickTipGuide.pdf,Official ordering/order-guide quick guide (not blank template),https://www.freshpoint.com/centralflorida/,Sysco-owned produce distributor; MyFreshPoint supports order guides and inventory sheets.,2026-07-13
What Chefs Want,Produce / specialty broadline,Supplemental,https://www.whatchefswant.com,https://whatchefswant.cutanddry.com/,Verified direct customer portal,,No public template found,https://www.whatchefswant.com/customer-login/,Cut+Dry portal; legacy/customer-specific login options also remain.,2026-07-13
Gourmet Foods International,Specialty foods,Supplemental,https://www.gfifoods.com,https://www.gfifoods.com/customer/account/,Verified direct customer portal,,No public template found,https://www.gfifoods.com/customers,Online ordering and shipment status are available to registered customers.,2026-07-13
FoodServiceDirect,Online foodservice retailer,Supplemental,https://www.foodservicedirect.com,https://www.foodservicedirect.com/,Public e-commerce storefront,,No vendor-order import template found,https://www.foodservicedirect.com/,Open online ordering; not a traditional account-rep broadliner.,2026-07-13
WebstaurantStore,Online restaurant supply / food,Supplemental,https://www.webstaurantstore.com,https://www.webstaurantstore.com/,Public e-commerce storefront,,No vendor-order import template found,https://www.webstaurantstore.com/,"Open online ordering for food, supplies and equipment.",2026-07-13
Restaurant Depot / Jetro,Cash-and-carry / wholesale,Supplemental,https://www.restaurantdepot.com,,Ordering portal not publicly verified,,No public template located in this pass,https://www.restaurantdepot.com,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
UNFI,Natural / grocery distribution,Supplemental,https://www.unfi.com,,Ordering portal not publicly verified,,No public template located in this pass,https://www.unfi.com,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
KeHE Distributors,Natural / specialty distribution,Supplemental,https://www.kehe.com,,Ordering portal not publicly verified,,No public template located in this pass,https://www.kehe.com,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
C&S Wholesale Grocers,Grocery wholesale,Supplemental,https://www.cswg.com,,Ordering portal not publicly verified,,No public template located in this pass,https://www.cswg.com,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Core-Mark,Convenience distribution / PFG,Supplemental,https://www.core-mark.com,,Ordering portal not publicly verified,,No public template located in this pass,https://www.core-mark.com,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Vistar,Vending / concessions / PFG,Supplemental,https://www.vistar.com,,Ordering portal not publicly verified,,No public template located in this pass,https://www.vistar.com,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
D'Artagnan,Meat / specialty,Supplemental,https://www.dartagnan.com,,Ordering portal not publicly verified,,No public template located in this pass,https://www.dartagnan.com,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Baker's Authority,Bakery ingredients / online,Supplemental,https://www.bakersauthority.com,,Ordering portal not publicly verified,,No public template located in this pass,https://www.bakersauthority.com,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
International Gourmet Foods,Specialty foods,Supplemental,https://www.igf-inc.com,,Ordering portal not publicly verified,,No public template located in this pass,https://www.igf-inc.com,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
