"Location","Department","Category","Item","Size","Quantity","Gross Revenue","Item Total Offers","Net Revenue"
"City View Pizza- Spring Garden","Salad","Chicken in a Pan","Chicken in a Pan",,"13","146.5","-0","146.5"
"City View Pizza- Spring Garden","Salad","Salads","Caesar Salad",,"16","184.57999999999998","-4","180.57999999999998"
"City View Pizza- Spring Garden","Salad","Salads","Chef Salad",,"4","66.99","-0","66.99"
"City View Pizza- Spring Garden","Salad","Salads","Chicken Caesar Salad",,"45","748.3","-3","745.3"
"City View Pizza- Spring Garden","Salad","Salads","Chicken Salad",,"8","122.74","-0","122.74"
"City View Pizza- Spring Garden","Salad","Salads","Crispy Chicken Finger Salad",,"7","120.36000000000001","-0","120.36000000000001"
"City View Pizza- Spring Garden","Salad","Salads","Greek Salad",,"3","50.75","-0","50.75"
"City View Pizza- Spring Garden","Salad","Salads","Grilled Buffalo Chicken Salad",,"3","50.07","-0","50.07"
"City View Pizza- Spring Garden","Salad","Salads","Grilled Chicken Salad",,"32","549.6400000000001","-4","545.6400000000001"
"City View Pizza- Spring Garden","Salad","Salads","House Salad",,"26","313.55000000000007","-4","309.55000000000007"
"City View Pizza- Spring Garden","Salad","Salads","Tuna Salad",,"5","77.45","-1","76.45"
"City View Pizza- Spring Garden","Salad","Salads","Turkey Salad",,"3","47.25","-1","46.25"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Buffalo Chicken Hoagie",,"4","56.78","-0","56.78"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Cheese Hoagie",,"2","28.75","-0","28.75"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Cheeseburger Hoagie",,"2","29.25","-0","29.25"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Chicken and Broccoli Hoagie",,"2","27.5","-0","27.5"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Chicken Caesar Hoagie",,"2","29.28","-0","29.28"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Chicken Cutlet Hoagie",,"1","13.75","-0","13.75"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Chicken Parmesan Grinder",,"5","68.75","-0","68.75"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Chicken Salad Hoagie",,"1","13.75","-0","13.75"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Corned Beef Hoagie",,"2","27.5","-0","27.5"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Flounder and Cheese Hoagie",,"11","155.53","-0","155.53"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Ham and Cheese Hoagie",,"1","13.75","-0","13.75"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Italian Hoagie",,"5","68.75","-0","68.75"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Italian Sausage Grinder",,"3","41.25","-0","41.25"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Meatball Grinder",,"3","41.25","-0","41.25"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Tuna Salad Hoagie",,"5","68.75","-0","68.75"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Turkey Cheeseburger Hoagie",,"1","13.75","-0","13.75"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Turkey Hoagie",,"18","256.73","-0","256.73"
"City View Pizza- Spring Garden","Sandwiches","Hoagies & Grinders","Veggie Grinder",,"1","13.75","-0","13.75"
"City View Pizza- Spring Garden","Sandwiches","Sandwiches","BLT",,"5","43.51","-0","43.51"
"City View Pizza- Spring Garden","Sandwiches","Sandwiches","Chicken Salad Sandwich",,"2","17.5","-0","17.5"
"City View Pizza- Spring Garden","Sandwiches","Sandwiches","Corned Beef Sandwich",,"1","11","-0","11"
"City View Pizza- Spring Garden","Sandwiches","Sandwiches","Corned Beef Special Sandwich",,"1","9.75","-0","9.75"
"City View Pizza- Spring Garden","Sandwiches","Sandwiches","Fish Sandwich",,"1","10.25","-0","10.25"
"City View Pizza- Spring Garden","Sandwiches","Sandwiches","Grilled Cheese",,"1","6.25","-0","6.25"
"City View Pizza- Spring Garden","Sandwiches","Sandwiches","Grilled Chicken Deluxe",,"3","39.5","-0","39.5"
"City View Pizza- Spring Garden","Sandwiches","Sandwiches","Grilled Chicken Sandwich",,"10","113.25","-0","113.25"
"City View Pizza- Spring Garden","Sandwiches","Sandwiches","Tuna Sandwich",,"4","37.22","-0","37.22"
"City View Pizza- Spring Garden","Sandwiches","Third Party Items","Grill Chick Sand on Long Roll",,"1","17.98","-0","17.98"
"City View Pizza- Spring Garden","Sandwiches","Triple Decker Clubs","B.L.T. Club",,"2","24.25","-0","24.25"
"City View Pizza- Spring Garden","Sandwiches","Triple Decker Clubs","Chicken Salad Club",,"2","24.18","-0","24.18"
"City View Pizza- Spring Garden","Sandwiches","Triple Decker Clubs","Turkey and Bacon Club",,"3","34.5","-0","34.5"
"City View Pizza- Spring Garden","Seafood ","Seafood","Fried Flounder(2pc)",,"5","81.36","-0","81.36"
"City View Pizza- Spring Garden","Seafood ","Seafood","Jumbo Shrimp(6)",,"7","113.01","-0","113.01"
"City View Pizza- Spring Garden","Seafood ","Seafood","Seafood Combination",,"5","86","-0","86"
"City View Pizza- Spring Garden","Sides and Addons ","Misc","Open Food",,"2","20.5","-0","20.5"
"City View Pizza- Spring Garden","Sides and Addons ","Paper Goods","Cups",,"5","0","-0","0"
"City View Pizza- Spring Garden","Sides and Addons ","Paper Goods","Menus",,"4","0","-0","0"
"City View Pizza- Spring Garden","Sides and Addons ","Paper Goods","Napkins",,"36","0","-0","0"
"City View Pizza- Spring Garden","Sides and Addons ","Paper Goods","Plates",,"69","0","-0","0"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side Celery",,"1","1.25","-0","1.25"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Chicken Salad",,"1","4","-0","4"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Croutons",,"1","1.25","-0","1.25"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Fried Onions",,"1","1.25","-0","1.25"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Grilled Chicken",,"3","15.39","-0","15.39"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Hot Peppers",,"5","6.25","-0","6.25"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Ketchup",,"15","0","-0","0"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Lettuce",,"1","1.25","-0","1.25"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Mayo",,"3","3.75","-0","3.75"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Mustard",,"2","2.5","-0","2.5"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Pickles",,"10","12.5","-0","12.5"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Raw Onions",,"1","1.25","-0","1.25"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Seeds",,"2","2.5","-0","2.5"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Sweet Peppers",,"1","1.25","-0","1.25"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Tomatoes",,"1","1.25","-0","1.25"
"City View Pizza- Spring Garden","Sides and Addons ","Side items","Side of Tuna Salad",,"1","5","-0","5"
"City View Pizza- Spring Garden","Sides and Addons ","Sides of Sauce","Side of Sauce",,"81","102.5","-0","102.5"
"City View Pizza- Spring Garden","Steaks","Chicken Steaks","Buffalo Chicken Cheese Steak",,"7","101.68","-0","101.68"
"City View Pizza- Spring Garden","Steaks","Chicken Steaks","Chicken Cheese Steak",,"47","663.85","-0","663.85"
"City View Pizza- Spring Garden","Steaks","Chicken Steaks","Chicken Cheese Steak Hoagie",,"3","43","-0","43"
"City View Pizza- Spring Garden","Steaks","Chicken Steaks","Chicken Steak Hoagie",,"1","14","-0","14"
"City View Pizza- Spring Garden","Steaks","Chicken Steaks","Mushroom Chicken Cheesesteak",,"1","14.25","-0","14.25"
"City View Pizza- Spring Garden","Steaks","Steaks","Cheese Steak",,"141","2,106.6100000000006","-0","2,106.6100000000006"
"City View Pizza- Spring Garden","Steaks","Steaks","Cheese Steak Hoagie",,"9","134.74","-0","134.74"
"City View Pizza- Spring Garden","Steaks","Steaks","Green Pepper Cheese Steak",,"4","59.75","-0","59.75"
"City View Pizza- Spring Garden","Steaks","Steaks","Mushroom Cheese Steak",,"5","73.75","-0","73.75"
"City View Pizza- Spring Garden","Steaks","Steaks","Pizza Steak",,"3","43.5","-0","43.5"
"City View Pizza- Spring Garden","Steaks","Steaks","Steak",,"6","90.09","-0","90.09"
"City View Pizza- Spring Garden","Steaks","Steaks","Steak Hoagie",,"1","14.25","-0","14.25"
"City View Pizza- Spring Garden","Stromboli","Stromboli","BBQ Chicken Stromboli","Lg","1","23","-0","23"
"City View Pizza- Spring Garden","Stromboli","Stromboli","BBQ Chicken Stromboli","Sm","1","18.11","-0","18.11"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Buffalo Chicken Stromboli","Sm","2","32","-0","32"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Chicken & Broccoli Stromboli","Lg","1","25","-0","25"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Chicken & Broccoli Stromboli","Sm","2","30.5","-0","30.5"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Chicken Steak Stromboli","Lg","2","47.09","-0","47.09"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Chicken Steak Stromboli","Sm","1","14.75","-0","14.75"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Grilled Chicken Stromboli","Lg","3","84","-0","84"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Grilled Chicken Stromboli","Sm","1","17","-0","17"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Meat Lovers Stromboli","Sm","4","67.17","-0","67.17"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Pepperoni Stromboli","Lg","2","40","-3.2","36.8"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Pepperoni Stromboli","Sm","3","47.68","-0","47.68"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Plain Stromboli","Sm","2","28.880000000000003","-0","28.880000000000003"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Special Stromboli","Sm","3","51.75","-0","51.75"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Steak Stromboli","Lg","13","313.69","-0","313.69"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Steak Stromboli","Sm","22","360.95","-0","360.95"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Vegetarian Stromboli","Lg","1","21","-0","21"
"City View Pizza- Spring Garden","Stromboli","Stromboli","Vegetarian Stromboli","Sm","3","46.1","-0","46.1"
"City View Pizza- Spring Garden","Third Party Pizzas","Create Your Own Pizza","Plain Pizza","Large","143","3,021.9200000000005","-0","3,021.9200000000005"
"City View Pizza- Spring Garden","Third Party Pizzas","Create Your Own Pizza","Plain Pizza","Small","198","2,778.2800000000025","-0","2,778.2800000000025"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","BBQ Chicken Pizza","Large","1","24.45","-0","24.45"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","BBQ Chicken Pizza","Small","3","52.5","-0","52.5"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","Beef Pepperoni Pizza","Large","1","24.45","-0","24.45"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","Beef Pepperoni Pizza","Small","1","17.5","-0","17.5"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","Buffalo Chicken Pizza","Large","1","24.45","-0","24.45"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","Buffalo Chicken Pizza","Small","5","87.5","-0","87.5"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","Chicken Bacon Ranch Pizza","Small","1","23.55","-0","23.55"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","General Tso Pizza","Large","1","24.45","-0","24.45"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","House Special Pizza","Small","1","17.5","-0","17.5"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","Meat Lovers Pizza","Large","1","32.33","-0","32.33"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","Meat Lovers Pizza","Small","1","17.5","-0","17.5"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","Steak Pizza","Small","1","17.5","-0","17.5"
"City View Pizza- Spring Garden","Third Party Pizzas","Specialty Pizzas","The Veggie Pizza","Large","1","24.45","-0","24.45"
"City View Pizza- Spring Garden","Wraps","Wraps","BLT Wrap",,"4","53.25","-0","53.25"
"City View Pizza- Spring Garden","Wraps","Wraps","Buffalo Chicken Wrap",,"5","58.75","-0","58.75"
"City View Pizza- Spring Garden","Wraps","Wraps","Cheesesteak Wrap",,"1","11.25","-0","11.25"
"City View Pizza- Spring Garden","Wraps","Wraps","Chicken Caesar Wrap",,"46","563.49","-0","563.49"
"City View Pizza- Spring Garden","Wraps","Wraps","Chicken Cheesesteak Wrap",,"2","25","-0","25"
"City View Pizza- Spring Garden","Wraps","Wraps","Chicken Finger Wrap",,"6","74.56","-0","74.56"
"City View Pizza- Spring Garden","Wraps","Wraps","Chicken Salad Wrap",,"2","22.5","-0","22.5"
"City View Pizza- Spring Garden","Wraps","Wraps","Greek Wrap",,"2","22.5","-0","22.5"
"City View Pizza- Spring Garden","Wraps","Wraps","Grilled Chicken Wrap",,"2","22.5","-0","22.5"
"City View Pizza- Spring Garden","Wraps","Wraps","Ham & Cheese Wrap",,"1","11.25","-0","11.25"
"City View Pizza- Spring Garden","Wraps","Wraps","Roast Beef & Cheese Wrap",,"1","11.25","-0","11.25"
"City View Pizza- Spring Garden","Wraps","Wraps","Tuna Cheese Wrap",,"3","33.75","-0","33.75"
"City View Pizza- Spring Garden","Wraps","Wraps","Turkey & Cheese Bacon Wrap",,"2","22.5","-0","22.5"
"City View Pizza- Spring Garden","Wraps","Wraps","Turkey Cheeseburger Wrap",,"3","35.5","-0","35.5"
"City View Pizza- Spring Garden","Wraps","Wraps","Veggie Wrap",,"3","37.25","-0","37.25"
